序号,养殖场（企业）名称,经度,纬度,养殖规模（头）
181,青铜峡市丰牧源牧业有限公司,106.04,37.85,3180
182,宁夏浩翔牧业有限公司,106.126389,37.851111,1484
183,青铜峡市牧源牧业有限公司,106.12,37.81,2043
184,青铜峡市牛顺源农牧有限公司,106.12,37.83,4527
185,青铜峡市牛瑞源农牧有限公司,106.12,37.83,3705
186,宁夏青铜峡市牛誉源农牧业有限公司,106.12,37.83,2315
187,青铜峡市蔡进农牧开发有限公司,105.953056,38.056111,1861
188,青铜峡市天徕农牧发展有限公司,105.985833,37.981667,1050
189,青铜峡市康盛奶牛养殖场,105.973333,38.106389,2519
190,宁夏聚牧农牧业发展有限公司,106.08,37.85,4802
191,青铜峡市伊友奶牛养殖专业合作社,106.085,38.625,1949
192,青铜峡市嘉泰奶牛养殖专业合作社,105.946111,37.971389,2208
193,宁夏向东牧业有限公司,106.126389,37.851111,1983
194,宁夏义龙牧业有限公司,106.101667,38.084167,587
195,宁夏金晟源养殖有限公司,106.100556,37.869722,1510
196,宁夏启鑫田农牧业有限公司,106.2025,37.855,220
197,宁夏上陵澳兰牧业科技有限公司,105.935,38.14,352
198,宁夏莱都惠民养殖有限公司,105.884167,38.0875,578
199,宁夏农垦牛羊肉食品有限公司,106.079722,38.148333,2077
200,青铜峡市鹏博牧场,106.047222,38.103333,54
201,青铜峡市希军养殖专业合作社,106.126667,37.851389,1090
202,青铜峡市峡口紫石台综合养殖有限公司,106.070278,37.827222,100
203,宁夏伊达利牧业有限公司,106.085,37.82,1800
204,宁夏欣瑞源牧业有限公司,106.05,37.87,291
205,宁夏青铜峡市金水渊农牧有限公司,106.070278,37.135,3689
206,青铜峡市先锋农牧有限公司,106.048056,37.880278,1342
207,宁夏新希望贺兰山牧业有限公司,106.2,37.5,10000
208,宁夏新希望塞上牧业有限公司,106.27,37.99,7000
209,吴忠优然牧业有限责任公司,106.266667,37.583333,5697
210,宁夏靖宇农牧有限公司,106.21,37.67,5963
211,宁夏欣庆农牧有限公司,106.27,37.66,9887
212,宁夏义明农牧有限公司,106.2,37.633333,3860
213,宁夏伊蒙达农牧开发有限公司,106.217222,37.630556,3200
214,宁夏宁德利农牧有限公司,106.2009,37.6429,3036
215,宁夏金谷禾川农牧有限公司,106.226111,37.674722,1860
216,宁夏伊蒙源农牧科技有限公司,106.183333,37.633333,3600
217,宁夏鸿德瑞农牧有限公司,106.22,37.67,1269
218,吴忠市豪山奶牛养殖专业合作社,106.35,37.883333,2500
219,宁夏勇祥农牧有限公司,106.190001,37.70836,1830
220,宁夏欣泽源农牧有限公司,106.18,37.69,2867
221,宁夏利祥源农牧有限公司,106.254254,37.580175,1500
222,宁夏骏峰牧业有限公司,106.21,37.74,600
223,吴忠市优牧源奶牛养殖专业合作社,106.25,37.566667,1550
224,吴忠市吉兴燊家庭农场,106.192742,37.688505,1411
225,宁夏宏业牧业有限公司,106.453611,37.954167,700
226,宁夏昆弟牧业有限公司,106.453611,37.954167,2000
227,吴忠市惠众家庭农场,106.419167,37.890833,1500
228,宁夏中轩农牧业发展有限公司,106.21,37.74,1000
229,吴忠市乐牧农牧有限公司,106.25,37.566667,700
